,body,bert,hate,target
10000,"Fox no different than ABC 
I’m Boycotting all TV and main media News ! 
CBS just claimed on Sunday Morning Show that Harris is a Black African American!!! 
She’s a mutt ! Family Slave Owner !!! 
Pray that SCOTUS does there job !!! 
Lord help us if not ! 
Dumb and Dumber taking over !",1,1,women
10001,Yes I am so happy I havebeen prayingand praying,0,0,0
10002,Welcome. Great to have you. Follow us for your favorite commentary.,0,0,0
10003,Very stupid. You have to be to believe in what they want to implement as policy.,0,0,0
10004,@NigelTrump Hmm I made an album once called amygdala... impulsenes has been massively nurtured by social media and distorted peoples actions in pursuit of the next thumbs up. .. like or share ... and repeat... I think that all ties in .. IQ intelligence education and indoctrination combined make a persons character... and susceptiblity combined with a natural feeling of defense for ones self family and community ... all roll into one explosive force ... this instance people screaming for black lives and black people saying you dont speak for us ...,0,0,0
10005,"Québec Parliament to consider two Bills prior to summer recess. Short of returning to Québec’s traditional religious public life, secularism is the best way forward.

“Bill 9, the immigration bill, lays the groundwork for a Quebec values test, which aspiring newcomers to the province would have to pass in order to qualify for permanent residency. It also seeks to better align the immigrant-selection process with the needs of regional employers.”

Ontario should be following suit but we’ve been duped by Ford, who promised the quashing of Al Quds celebrations prior to being elected and now not only allows them but promotes them.",0,-1,0
10006,"They do. While we slept, they built an empire.",0,0,0
10007,It's been the left the entire time and we shouldn't tolerate it anymore!,0,-1,0
10008,I just joined Parler! Looking forward to meeting everyone here.,0,0,0
10009,What is this “Twitter” to which you refer?,0,0,0
10010,"For sure.. I'm locked out of both, fakebook and twitter..2 months now !!",0,0,0
10011,At least our president made his money before and not on our backs. Would rather look at tax returns of those that got rich in Congress rather than one that got rich long before in politics! All a bs game.,0,0,0
10012,So petrifying! When are we going to stand up and fight back?,0,-1,0
10013,It’s both that are the fraud,0,0,0
10014,"Though he was in the form of God, [Jesus] did not count equality with God a thing to be grasped, but emptied himself, by taking the form of a servant, being born in the likeness of men. 

Philipians 2:6-7",0,0,0
10015,How in the heck did this happen? Who sold it to them and want anyone paying attention? Seems like a huge deal to just have happened by accident!!,0,0,0
10016,Just registered my daughter her best friend and both of their black boyfriends as first time Trump voters.,0,0,0
10017,"Join #KARMA the #KnightsAgainstRadicalMuslimAggressors and we'll knock down the mosques for you. We act! Patriot talk is all well and good, but we take up arms and do stuff that would lead to our arrest as our weak government shields these Muslims and treats them as victims. Our elected leaders forget WE HAVE THE RIGHT TO OVERTHROW them and it's high team the Deep State is snuffed out!",1,1,muslim people
10018,The truth doesn't matter to these people. When are you going to figure that out?,0,0,0
10019,"Feel free to follow me.... I'm a simple creature who enjoys her freedom of speech. I promise I won't bite you, except on Fridays. Marine and mom of 3, not here to get hit on, I have a man in my life..... Trump/Pence 2020✌️",0,0,0
10020,Who’s she calling crazy?? She’s the nut bag!,1,1,women
10021,Welcome! For people looking for Parler tips and how tos Check out @parlersupport or the Parler Youtube page. The videos are in both places. There is also a Parler101 channel which has some good data as well.,0,0,0
10022,Sickening: Kentucky School Asks 5th Grade Students To Complete Racial Injustice Assignment,0,-1,0
10023,"You made it! Congratulations on choosing Parler, the free speech platform. I'm here to help you navigate the app, answer any questions, and ensure you have the best Parler experience. Puedo ayudar en Español también! #parlerconcierge",0,0,0
10024,Funny how he’s standing in front of Ford vehicles when the democrats ripped Ford for NOT taking a bailout during the Obama years. Now they’re trying to push “made in America” and “Buy American” Nothing like doing what Trump has already done.,0,0,0
10025,"Sorry Maria,we love you but we stopped watching FOX ( both).",0,0,0
10026,Glad to see you here on Parler where free speech is actually alive and well. Looking forward to mixing it up with you here and keeping the truth alive in the face of the constant bias we face. Let's Go!,0,0,0
10027,I always wondered what happened to the crypt keeper after his show got canceled...,0,0,0
10028,How bout we eliminate Pelosi? Smh ridiculous jus when you thought you’ve heard it all some else more stupid and ridiculous comes out....,0,0,0
10029,"Still a Patriot, support till the end and beyond. 🚂🇺🇸",0,0,0
10030,@LorieMccain Did you see the emergency alert for Illinois?? Crazy!,0,0,0
10031,@Derekcarr15 I love how you think you’re being all clever here 😂,0,0,0
10032,"I've written Marco Rubio a half dozen times, mostly he ignors me. When I get a response its a generic form letter that's meaningless. I am now making it my mission to prevent his re-election.",0,0,0
10033,I’ve been saying it’s the faulty fraud ridden test since March to cause the hysteria,0,0,0
10034,Willie knows her language oh yea!,0,0,0
10035,"Interesting. One vicious heartless power-mad organization slip-sliding their massive millions through the sewer conduit of another heartless murderous power-mad organization that is now demanding payment for their “assistance” over the last few weeks: You know, For Looting, burning, intimidation, attacking ordinary citizens, including frail elderly citizens. All in a day’s terrorist activities. Yup—we’re talking about the terror arm of the disgusting lowlife garbage cabal the demonRAT party has slid downward into. And no one seems particularly surprised. Perhaps that’s the saddest part of all, how you slip into despotism and utter tyranny and ownership of each citizen and the products of their labor by a hostile self-serving “state”. Just loss of one freedom after another, just slip sliding away.",1,1,0
10036,"You made it! Congratulations on choosing Parler, the free speech platform. I'm here to help you navigate the app, answer any questions, and ensure you have the best Parler experience. Puedo ayudar en Español también! #parlerconcierge",0,0,0
10037,I love our President. Thank you President Trump for giving up your luxurious living to take on and fix the problems caused by others in W H ! I for one trust you and your intellect and your ability. God saved us from the devil running against you 2016. 2020 four more years.!!!,0,0,0
10038,"Shadowgate? Pedophile Sex Cults? CIA and FBI conspiracies? There was no limits to how pervasive Ted Gunderson was to the world when it came to revealing the real truth out there, and this was decades ago!",1,0,0
10039,😂😂 they think we are so stupid,0,0,0
10040,Just don't eat that shit and hit them in their sales numbers.,0,-1,0
10041,"Keep lying Joe,only the stupid will hear you.",0,0,0
10042,We tried that.. since Q1.. definition of insanity folks.. do the same shit over and expect a different result..,0,0,0
10043,Hey they booted me from twitter 🤬,0,0,0
10044,"Watch SUN DAY MORNING FUTURES. On Fox at 2. Sydney Powell segment. Bombshell. Bidens has been caught. Trump has won.
Just have to deal with legal process. Don’t miss it.",0,0,0
10045,Sounds like China knows their Trojan Horse candidate is going to lose the election.,0,0,0
10046,May GOD BLESS & KEEP THEM...ALL WAYS 💫🙏✨🇺🇸♾🦅🗽🦅🇺🇸♾✨🙏💫,0,0,0
10047,Just saw your video brought over from twitter. Its AWESOME. Will you be putting anymore over here?,0,0,0
10048,What Is Bill Barr Going to Do?,0,0,0
10049,They are truly creating a new people Divided people.,0,0,0
10050,Welcome to Parler. I will see you in the comments. Please leave a review on the app stores and share with your friends!,0,0,0
10051,"I do carry a gun 3 Concealed Handgun Lisence classes over the years and don't carry unless you are willing to pull the trigger. I pray I never have to but 5'4"" and 133 pounds of ready.",0,0,0
10052,How anyone can see this and believe the MSM bullshit is beyond my comprehension!,0,0,0
10053,Glad to see you here on Parler where free speech is actually alive and well. Looking forward to mixing it up with you here and keeping the truth alive in the face of the constant bias we face. Let's Go!,0,0,0
10054,This hack @SpeakerPelosi has a hit list longer than J. Edgar’s,0,-1,0
10055,@HimalayaNZ - HimalayaNZ - You have the right to know who betrayed the...,0,0,0
10056,Thank you so much for adding me 🙏🇺🇸,0,0,0
10057,The courts will never side with Trump. They are just as corrupt. Ask General Flynn. We are doomed as a free country.,0,0,0
10058,I think the evil empire boss of faux news gave him a ultimatum do what we say or else not defending tucker but the look in his eyes was one of being threatened tucker needs to rip up his contract go to newsmax or another honest media outlet,1,0,0
10059,"ALIÁS, POR O DE ANDA O MINISTRO DA JUSTIÇA?????? ELE AINDA VIVE OU JÁ MORREU?",0,0,0
10060,@callmedaddyy of course ☺️ all the love babiesss,0,0,0
10061,They've always been cheating but trump received so many votes he blew up there plans..,0,0,0
10062,We don't need recounts we need audits!! #stopthesteal,0,0,0
10063,"Good morning, waking up to another beautiful day in Trump country, America! Have a great day 🇺🇸🇺🇸🇺🇸🇺🇸",0,0,0
10064,What the? Where did you get this??,0,0,0
10065,"It starts with parents teaching their children at home and that education and hard work leads to opportunities. Don't expect things to be handed to you because of your gender, religion or race.",0,0,0
10066,@Brokenhip1013 Assuming my sexual preference is not allowed or very progressive. You need re educated. You can't even be a good leftist you're so stupid.,0,0,0
10067,@Harlow2013 I did not know that. Probably why I keep reading over-emotional comments as to how so-called millions are still not covered by healthcare...I guess. Thanks for the information. :),0,0,0
10068,"Didn’t watch debate due to work. Pulled up one clip of Biden telling Americans he did everything by the book, paraphrasing here, what a blasphemer. His cadence of speech changes, almost like it was rehearsed, like I’m sure it was. What a train wreck !",0,-1,0
10069,"@HIRO4YOU2 I care!
We do care!
Your information will help more people care & take action!
Thanks for posting! 🇺🇸",0,0,0
10070,Mark great job keep calling out the corrupt media the average American needs to see just how bad and down in the gutter they really are. Keep it up !!!! 🇺🇸🇺🇸🇺🇸,0,0,0
